Time,Value
0,74.995628
0.1,74.99724627
0.2,74.9982655
0.3,74.99890029
0.4,74.99931157
0.5,74.99956191
0.6,74.99972284
0.7,74.99982119
0.8,74.99988377
0.9,74.99991953
1,74.99994636
1.1,74.99996424
1.2,74.99997318
1.3,74.99998212
1.4,74.99998212
1.5,74.99998212
1.6,74.99998212
1.7,74.99998212
1.8,74.99998212
1.9,74.99998212
2,74.99998212
2.1,74.99998212
2.2,74.99998212
2.3,74.99998212
2.4,74.99998212
2.5,74.99998212
2.6,74.99472499
2.7,74.93831813
2.8,74.86969829
2.9,74.76139069
3,74.56778884
3.1,74.30702448
3.2,74.09472764
3.3,73.95451069
3.4,73.80512953
3.5,73.6092031
3.6,73.38762581
3.7,73.17156494
3.8,72.98070788
3.9,72.80883193
4,72.60466218
4.1,72.34305739
4.2,72.09506035
4.3,71.92773521
4.4,71.78705335
4.5,71.59411311
4.6,71.34540081
4.7,71.08533382
4.8,70.85979581
4.9,70.68262696
5,70.51199377
5.1,70.29258013
5.2,70.03475726
5.3,69.81574595
5.4,69.64445114
5.5,69.45016086
5.6,69.20250356
5.7,68.93463135
5.8,68.69868636
5.9,68.5125947
6,68.34928393
6.1,68.15046072
6.2,67.88241863
6.3,67.60172546
6.4,67.38782823
6.5,67.2064662
6.6,66.99246168
6.7,66.74610972
6.8,66.50461257
6.9,66.29097462
7,66.09730124
7.1,65.890342
7.2,65.62584937
7.3,65.32649696
7.4,65.08302391
7.5,64.90888596
7.6,64.72570002
7.7,64.4885391
7.8,64.2208904
7.9,63.96287978
8,63.7357235
8.1,63.52763772
8.2,63.29679787
8.3,63.02236319
8.4,62.75738776
8.5,62.55642772
8.6,62.3675555
8.7,62.12769449
8.8,61.83688045
8.9,61.55072451
9,61.30822599
9.1,61.10579967
9.2,60.9056443
9.3,60.65900624
9.4,60.36760211
9.5,60.10876894
9.6,59.89564955
9.7,59.66700912
9.8,59.3941927
9.9,59.11245346
10,58.86114836
10.1,58.64728689
10.2,58.44053328
10.3,58.1951201
10.4,57.88798928
10.5,57.58107305
10.6,57.34549463
10.7,57.14069903
10.8,56.90495968
10.9,56.63240254
11,56.3606143
11.1,56.10886216
11.2,55.87462485
11.3,55.63057959
11.4,55.34161627
11.5,55.028826
11.6,54.77162004
11.7,54.56950665
11.8,54.34889495
11.9,54.06956077
12,53.76251042
12.1,53.47351134
12.2,53.22403014
12.3,52.99683809
12.4,52.74737477
12.5,52.45529115
12.6,52.1655947
12.7,51.92348957
12.8,51.6952157
12.9,51.41902864
13,51.10568404
13.1,50.80622435
13.2,50.55103004
13.3,50.32779872
13.4,50.09566247
13.5,49.80936348
13.6,49.48516488
13.7,49.19412732
13.8,48.95272851
13.9,48.70327413
14,48.41747582
14.1,48.12185168
14.2,47.84834683
14.3,47.6000011
14.4,47.35398889
14.5,47.06866443
14.6,46.73813581
14.7,46.42113447
14.8,46.17125988
14.9,45.94527483
15,45.68530619
15.1,45.38090229
15.2,45.07361948
15.3,44.79053915
15.4,44.53080297
15.5,44.26419139
15.6,43.96390021
15.7,43.64714921
15.8,43.37160587
15.9,43.13659072
16,42.8771764
16.1,42.5660491
16.2,42.23305285
16.3,41.92876518
16.4,41.6672498
16.5,41.42259657
16.6,41.15217626
16.7,40.83749056
16.8,40.5182004
16.9,40.24347067
17,39.98590708
17.1,39.69350159
17.2,39.36701417
17.3,39.06081319
17.4,38.79168928
17.5,38.54420185
17.6,38.27501535
17.7,37.95821071
17.8,37.60742247
17.9,37.30025589
18,37.04768121
18.1,36.78824902
18.2,36.48958504
18.3,36.17362082
18.4,35.87542176
18.5,35.59617698
18.6,35.32277942
18.7,35.0181967
18.8,34.67797637
18.9,34.35691595
19,34.0945065
19.1,33.84702802
19.2,33.55875313
19.3,33.22373629
19.4,32.89139271
19.5,32.59200454
19.6,32.32304156
19.7,32.04825819
19.8,31.73813224
19.9,31.40904307
20,31.11327589
20.1,30.84844351
20.2,30.56271672
20.3,30.2282542
20.4,29.88551259
20.5,29.57933843
20.6,29.3114841
20.7,29.05110419
20.8,28.75613272
20.9,28.41506302
21,28.07391286
21.1,27.7841717
21.2,27.51402855
21.3,27.21235156
21.4,26.88438892
21.5,26.56908631
21.6,26.28273368
21.7,26.0096848
21.8,25.71135163
21.9,25.37269592
22,25.01696348
22.1,24.70830381
22.2,24.44989979
22.3,24.17910397
22.4,23.86159301
22.5,23.52287471
22.6,23.20261002
22.7,22.90989161
22.8,22.62251973
22.9,22.31177688
23,21.9710201
23.1,21.64848447
23.2,21.37291431
23.3,21.10476494
23.4,20.79004347
23.5,20.43729722
23.6,20.09244561
23.7,19.79009807
23.8,19.51958835
23.9,19.2384392
24,18.91689599
24.1,18.57339442
24.2,18.25745702
24.3,17.97510982
24.4,17.67652631
24.5,17.33901501
24.6,16.99950099
24.7,16.69223607
24.8,16.41674638
24.9,16.1377877
25,15.82010686
25.1,15.46110213
25.2,15.11334479
25.3,14.81990218
25.4,14.54989314
25.5,14.24775124
25.6,13.91485333
25.7,13.58651519
25.8,13.28299642
25.9,12.9927367
26,12.68661618
26.1,12.34158576
26.2,11.99168265
26.3,11.6869837
26.4,11.42176688
26.5,11.13590598
26.6,10.80094278
26.7,10.44784784
26.8,10.11838317
26.9,9.823563695
27,9.538578987
27.1,9.231036901
27.2,8.890923858
27.3,8.562487364
27.4,8.272057772
27.5,7.985731959
27.6,7.661685348
27.7,7.304933667
27.8,6.9681108
27.9,6.672048569
28,6.400483847
28.1,6.108525395
28.2,5.774697661
28.3,5.417910218
28.4,5.094766617
28.5,4.810202122
28.6,4.515177011
28.7,4.183861613
28.8,3.848496079
28.9,3.539228439
29,3.253877163
29.1,2.963081002
29.2,2.632024884
29.3,2.26971209
29.4,1.931422949
29.5,1.647689939
29.6,1.379451156
29.7,1.073116064
29.8,0.73184073
29.9,0.396198034
30,0.08405149
30.1,-0.206422806
30.2,-0.512695313
30.3,-0.84888339
30.4,-1.188692451
30.5,-1.488411427
30.6,-1.761227846
30.7,-2.058684826
30.8,-2.403509617
30.9,-2.759295702
31,-3.082099557
31.1,-3.364920616
31.2,-3.64330709
31.3,-3.950983286
31.4,-4.294073582
31.5,-4.627713561
31.6,-4.921612144
31.7,-5.20824194
31.8,-5.531305075
31.9,-5.87426126
32,-6.198486686
32.1,-6.488540769
32.2,-6.76150918
32.3,-7.06179142
32.4,-7.406893373
32.5,-7.763716578
32.6,-8.07877779
32.7,-8.351451159
32.8,-8.634763956
32.9,-8.959320188
33,-9.290778637
33.1,-9.604382515
33.2,-9.894606471
33.3,-10.1875484
33.4,-10.5132401
33.5,-10.86279452
