Time,Value
0,-59.97287035
0.1,-59.82051194
0.2,-59.66853797
0.3,-59.51731503
0.4,-59.36392844
0.5,-59.2059195
0.6,-59.04870629
0.7,-58.89447927
0.8,-58.7405473
0.9,-58.58622193
1,-58.42726529
1.1,-58.26734304
1.2,-58.1081897
1.3,-57.95141459
1.4,-57.7926904
1.5,-57.63293803
1.6,-57.46984184
1.7,-57.30932057
1.8,-57.14988112
1.9,-56.98822439
2,-56.82230294
2.1,-56.65729344
2.2,-56.49221241
2.3,-56.33169115
2.4,-56.17049038
2.5,-56.00422025
2.6,-55.83617091
2.7,-55.66965938
2.8,-55.50355017
2.9,-55.33837974
3,-55.1692754
3.1,-55.00153899
3.2,-54.83394563
3.3,-54.6652168
3.4,-54.4991076
3.5,-54.32726741
3.6,-54.15473878
3.7,-53.98097634
3.8,-53.81124616
3.9,-53.64241898
4,-53.47161591
4.1,-53.30007076
4.2,-53.12439501
4.3,-52.94890702
4.4,-52.77625322
4.5,-52.60241032
4.6,-52.42792368
4.7,-52.24921703
4.8,-52.0714134
4.9,-51.89680159
5,-51.72386169
5.1,-51.54408216
5.2,-51.36538446
5.3,-51.18404031
5.4,-51.00552142
5.5,-50.83114207
5.6,-50.65155029
5.7,-50.4703939
5.8,-50.28731525
5.9,-50.10578334
6,-49.9265939
6.1,-49.74683225
6.2,-49.56239462
6.3,-49.37680364
6.4,-49.19464588
6.5,-49.01331067
6.6,-48.83083105
6.7,-48.64653647
6.8,-48.45906794
6.9,-48.27252924
7,-48.08731377
7.1,-47.90107906
7.2,-47.71447778
7.3,-47.52776027
7.4,-47.33896852
7.5,-47.15234935
7.6,-46.96507752
7.7,-46.77622318
7.8,-46.58397138
7.9,-46.3938117
8,-46.20425105
8.1,-46.01496756
8.2,-45.82724869
8.3,-45.63473761
8.4,-45.44185996
8.5,-45.25024295
8.6,-45.05718648
8.7,-44.86679435
8.8,-44.67439055
8.9,-44.47876811
9,-44.2856133
9.1,-44.09399629
9.2,-43.89925897
9.3,-43.7040478
