Time [sec]	Value [mrad]
0	61.75659299
0.1	61.45159006
0.2	61.14276946
0.3	60.82952321
0.4	60.5058074
0.5	60.1782918
0.6	59.86327529
0.7	59.56674814
0.8	59.26916599
0.9	58.95608068
1	58.63210559
1.1	58.30498338
1.2	57.98031092
1.3	57.66468644
1.4	57.34934807
1.5	57.03047812
1.6	56.71279728
1.7	56.40166104
1.8	56.08739555
1.9	55.76053262
2	55.42026758
2.1	55.08184433
2.2	54.75855768
2.3	54.44751978
2.4	54.13746536
2.5	53.81626189
2.6	53.47944796
2.7	53.14261615
2.8	52.81165838
2.9	52.48195231
3	52.14849114
3.1	51.81671083
3.2	51.49362087
3.3	51.17380321
3.4	50.84853172
3.5	50.51218271
3.6	50.16100109
3.7	49.81085658
3.8	49.47811961
3.9	49.15752411
4	48.83437157
4.1	48.50065112
4.2	48.15890193
4.3	47.81674147
4.4	47.47695029
4.5	47.13506699
4.6	46.79038525
4.7	46.44411206
4.8	46.1089164
4.9	45.78491449
5	45.45357227
5.1	45.1030612
5.2	44.74590719
5.3	44.39126551
5.4	44.04625297
5.5	43.7114954
5.6	43.37880313
5.7	43.03621352
5.8	42.68735647
5.9	42.34095812
6	41.99400544
6.1	41.6390419
6.2	41.28081501
6.3	40.92996418
6.4	40.5877769
6.5	40.25402069
6.6	39.91499841
6.7	39.56210017
6.8	39.19466436
6.9	38.82863224
7	38.47936392
7.1	38.13477159
7.2	37.78706789
7.3	37.43830919
7.4	37.08663583
7.5	36.73599958
7.6	36.38159931
7.7	36.02037728
7.8	35.65190434
7.9	35.28832197
8	34.94144082
8.1	34.60243642
8.2	34.25481319
8.3	33.8937521
8.4	33.52687955
8.5	33.1599623
8.6	32.80028701
8.7	32.44563639
8.8	32.08888471
8.9	31.73108697
9	31.37589097
9.1	31.02475405
9.2	30.66376448
9.3	30.29221594
9.4	29.91832495
9.5	29.55104113
9.6	29.1959703
9.7	28.84989381
9.8	28.49747837
9.9	28.13128531
10	27.7580291
10.1	27.38884985
10.2	27.02492774
10.3	26.65987909
10.4	26.2945801
10.5	25.93425214
10.6	25.57564974
10.7	25.22179484
10.8	24.85917807
10.9	24.48207736
11	24.09953177
11.1	23.72654378
11.2	23.36847782
11.3	23.01650047
11.4	22.6554215
11.5	22.28889763
11.6	21.91878855
11.7	21.54462934
11.8	21.17581666
11.9	20.8044827
12	20.43036819
12.1	20.06419301
12.2	19.70659196
12.3	19.34963465
12.4	18.98105443
12.5	18.60069036
12.6	18.21745634
12.7	17.84259975
12.8	17.47817695
12.9	17.12174714
13	16.75684154
13.1	16.38534665
13.2	16.01498723
13.3	15.64629972
13.4	15.2721405
13.5	14.89241123
13.6	14.51491714
13.7	14.14796412
13.8	13.78920972
13.9	13.42949867
14	13.06098104
14.1	12.67796159
14.2	12.29287684
14.3	11.91683114
14.4	11.55131757
14.5	11.18642092
14.6	10.8181268
14.7	10.44793725
14.8	10.07913351
14.9	9.706825018
15	9.333774447
15.1	8.951193094
15.2	8.570355177
15.3	8.199030161
15.4	7.841330767
15.5	7.481190562
15.6	7.109776139
15.7	6.727650762
15.8	6.345847249
15.9	5.970329046
16	5.60259819
16.1	5.236655474
16.2	4.862934351
16.3	4.491877556
16.4	4.127016664
16.5	3.757819533
16.6	3.380683064
16.7	2.997583151
16.8	2.615851164
16.9	2.246367931
17	1.886469126
17.1	1.526275277
17.2	1.154118776
17.3	0.773924589
17.4	0.395330787
17.5	0.022065639
17.6	-0.350135565
17.7	-0.722005963
17.8	-1.094099879
17.9	-1.459515095
18	-1.823276281
18.1	-2.188074589
18.2	-2.563905716
18.3	-2.948820591
18.4	-3.332152963
18.5	-3.697988391
18.6	-4.055383801
18.7	-4.418224096
18.8	-4.789915681
18.9	-5.163887143
19	-5.538064241
19.1	-5.911079049
19.2	-6.281590462
19.3	-6.655400991
19.4	-7.026395202
19.5	-7.387644053
19.6	-7.743752003
19.7	-8.108943701
19.8	-8.485454321
19.9	-8.866462111
20	-9.244921803
20.1	-9.610980749
20.2	-9.967875481
20.3	-10.32858789
20.4	-10.69680154
20.5	-11.06733084
20.6	-11.43580377
20.7	-11.80399954
20.8	-12.17762232
20.9	-12.55024374
21	-12.91768849
21.1	-13.27546835
21.2	-13.6290729
21.3	-13.98822963
21.4	-14.36222792
21.5	-14.74124193
21.6	-15.11033177
21.7	-15.47318995
21.8	-15.83000422
21.9	-16.18981361
22	-16.55192971
22.1	-16.91499352
22.2	-17.27690399
22.3	-17.63872504
22.4	-18.00996959
22.5	-18.38206351
22.6	-18.74763966
22.7	-19.09997463
22.8	-19.44851875
22.9	-19.80545819
23	-20.17061412
23.1	-20.54157257
23.2	-20.90931237
23.3	-21.26819193
23.4	-21.62183225
23.5	-21.97811902
23.6	-22.33466506
23.7	-22.68988788
23.8	-23.04274142
23.9	-23.40035141
24	-23.76807332
24.1	-24.13719893
24.2	-24.49480891
24.3	-24.84262884
24.4	-25.18481612
24.5	-25.53522885
24.6	-25.89532435
24.7	-26.2578696
24.8	-26.61548853
24.9	-26.96819007
25	-27.32352912
25.1	-27.67721415
25.2	-28.02731395
25.3	-28.37163806
25.4	-28.71470153
25.5	-29.06633914
25.6	-29.42842841
25.7	-29.79134023
25.8	-30.14348745
25.9	-30.48148155
26	-30.82057536
26.1	-31.16585612
26.2	-31.51683211
26.3	-31.86931908
26.4	-32.21976757
26.5	-32.56803453
26.6	-32.91323483
26.7	-33.26182365
26.8	-33.60479772
26.9	-33.93933177
27	-34.2757076
27.1	-34.62218642
27.2	-34.97602344
27.3	-35.32836735
27.4	-35.67156494
27.5	-36.00515127
27.6	-36.33584082
27.7	-36.6738975
27.8	-37.01685369
27.9	-37.35800385
28	-37.69727647
28.1	-38.03959787
28.2	-38.38067651
28.3	-38.72070909
28.4	-39.05390203
28.5	-39.38193619
28.6	-39.70651031
28.7	-40.04341364
28.8	-40.38777351
28.9	-40.73092639
29	-41.06345773
29.1	-41.39124155
29.2	-41.71724617
29.3	-42.04629064
29.4	-42.37670302
29.5	-42.70536304
29.6	-43.03309321
29.7	-43.36387217
29.8	-43.70123148
29.9	-44.03414726
30	-44.35649514
30.1	-44.67022419
30.2	-44.98834312
30.3	-45.31564415
30.4	-45.64862251
30.5	-45.98027766
30.6	-46.30632699
30.7	-46.62186205
30.8	-46.93868458
30.9	-47.25786746
31	-47.57532477
31.1	-47.88916111
31.2	-48.20692241
31.3	-48.53290915
31.4	-48.8596648
31.5	-49.18093979
31.6	-49.49401617
31.7	-49.79573786
31.8	-50.10163486
31.9	-50.41920841
32	-50.74133277
32.1	-51.05796754
32.2	-51.36906803
32.3	-51.67933702
32.4	-51.98958814
32.5	-52.29830146
32.6	-52.60237455
32.7	-52.90392637
32.8	-53.20988595
32.9	-53.52214873
33	-53.84078622
33.1	-54.15012538
33.2	-54.44725156
33.3	-54.74102497
33.4	-55.03788292
33.5	-55.34154475
33.6	-55.64956963
33.7	-55.95256984
33.8	-56.25176132
33.9	-56.55018389
34	-56.85110986
34.1	-57.14909434
34.2	-57.4377358
34.3	-57.72466063
34.4	-58.01874697
34.5	-58.31917226
34.6	-58.62244964
34.7	-58.92115831
34.8	-59.20749307
34.9	-59.4881326
35	-59.77259874
35.1	-60.06521881
35.2	-60.35588086
35.3	-60.64151824
35.4	-60.93095541
35.5	-61.2206161
35.6	-61.50982082
35.7	-61.79351807
35.8	-62.06819415
35.9	-62.34372854
36	-62.62108684
36.1	-62.9108727
36.2	-63.20136487
36.3	-63.48210275
36.4	-63.75415027
36.5	-64.02564347
36.6	-64.30031955
36.7	-64.573735
36.8	-64.84971642
36.9	-65.12271166
37	-65.39770961
37.1	-65.67442417
37.2	-65.95417857
37.3	-66.22155905
37.4	-66.48230553
37.5	-66.7434454
37.6	-67.00918078
37.7	-67.2804594
37.8	-67.55547523
37.9	-67.82357097
38	-68.08321774
38.1	-68.34073663
38.2	-68.60338748
38.3	-68.86382103
38.4	-69.12120581
38.5	-69.37870681
38.6	-69.63977516
38.7	-69.90523338
38.8	-70.16607821
38.9	-70.42139769
39	-70.66878676
39.1	-70.91412842
39.2	-71.16411924
39.3	-71.42187953
39.4	-71.67896926
39.5	-71.93265259
39.6	-72.1798718
39.7	-72.42630422
39.8	-72.67344296
39.9	-72.91753292
40	-73.15936089
40.1	-73.39957952
40.2	-73.64557385
40.3	-73.89657497
40.4	-74.14572537
40.5	-74.38380718
40.6	-74.61637259
40.7	-74.75984395
40.8	-74.84875023
40.9	-74.90474582
41	-74.94000793
41.1	-74.96221662
41.2	-74.97620881
41.3	-74.95078146
41.4	-74.88216162
41.5	-74.7849226
41.6	-74.67623949
41.7	-74.56578612
41.8	-74.4517386
41.9	-74.33101237
42	-74.20540452
42.1	-74.07912612
42.2	-73.95001352
42.3	-73.81903231
42.4	-73.68401885
42.5	-73.54732454
42.6	-73.41368794
42.7	-73.28390479
42.8	-73.15750122
42.9	-73.02457094
43	-72.88448811
43.1	-72.74073958
43.2	-72.60164917
43.3	-72.46464193
43.4	-72.32838571
43.5	-72.19123542
43.6	-72.05345929
43.7	-71.91432416
43.8	-71.77540362
43.9	-71.63259387
44	-71.48473263
44.1	-71.33713961
44.2	-71.19356096
44.3	-71.05475664
44.4	-70.91816962
44.5	-70.77315152
44.6	-70.62403858
44.7	-70.47109902
44.8	-70.3202337
44.9	-70.17306983
45	-70.02459168
45.1	-69.87616718
45.2	-69.72864568
45.3	-69.58249211
45.4	-69.43448782
45.5	-69.27866042
45.6	-69.12016869
45.7	-68.96069348
45.8	-68.8070029
45.9	-68.66038442
